REF	TIMESTAMP	EVENT_TYPE	SOURCE	PATH	SHA256	PREVIOUS_REF
GSOS-TL-0088	2026-08-06 13:07:34	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/events/runtime-events.log	c09378f97cb6421eec2959e758569636b466af221dd2a98081576b3a442edd1f	-
GSOS-TL-0089	2026-08-06 13:07:34	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/state/runtime.state	254829082c2fd058ba607c6de24be389a9358f14b8ee835ddd0fa0a02417cd9d	-
GSOS-TL-0090	2026-08-06 13:13:21	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/scheduler/scheduler.s	af67e6587f5f47ad575b9064802f5138e87f514716d389ade2ec8dd773283364	-
GSOS-TL-0091	2026-08-06 13:26:13	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/scheduler/scheduler.sh	04832fac81ffdb63fa2ca18db15b52e0623c10f2097fdaf81f77ae27b28c82d9	-
GSOS-TL-0092	2026-08-06 15:21:59	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/decision/decision-engine.sh	70ac40bee047c66ba0ea8f1353cbf501c5beed109b63d3a0c3b84f8ec8d7ff52	-
GSOS-TL-0093	2026-08-06 16:51:55	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/policy/policy-engine.sh	f771a0c3a400c1a0b8d31f8137586a07581f7b89b4620c65e6edc8220eaebfae	-
GSOS-TL-0094	2026-08-06 16:58:03	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/execution/execution-engine.s	db5ebf7568b84807539685b8f1918638e1c9d6a29be523490c21eb11d7508db8	-
GSOS-TL-0095	2026-08-06 17:06:35	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/execution/execution-engine.sh	52e235564ed1f47004b0b66c52a559c14ff5bf06c6d95accf32cd106cf09ae20	-
GSOS-TL-0096	2026-08-06 17:32:30	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/eventbus/publish.sh	ca00e4ba7e8147bd501f6847a39eefb4a0380c4fadbded626cc0ea5902b44fb2	-
GSOS-TL-0097	2026-08-06 17:33:03	CONTENT_TIMESTAMP	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/eventbus/events.bus	00a717ca549252e0c808968508d798b0a4da63d881775c8e97671fd08010f1fb	-
GSOS-TL-0098	2026-08-06 20:17:26	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/eventbus/subscribe.sh	b3b66e205d3c7a8b48410810a4a19c10e5ae973d30537197347dfa96f89fd244	-
GSOS-TL-0099	2026-08-06 20:40:35	CONTENT_TIMESTAMP	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/eventbus/events.bus	00a717ca549252e0c808968508d798b0a4da63d881775c8e97671fd08010f1fb	-
GSOS-TL-0100	2026-08-06 20:40:35	CONTENT_TIMESTAMP	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/eventbus/events.bus	00a717ca549252e0c808968508d798b0a4da63d881775c8e97671fd08010f1fb	-
GSOS-TL-0101	2026-08-06 20:40:35	CONTENT_TIMESTAMP	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/eventbus/events.bus	00a717ca549252e0c808968508d798b0a4da63d881775c8e97671fd08010f1fb	-
GSOS-TL-0102	2026-08-06 20:40:35	CONTENT_TIMESTAMP	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/eventbus/events.bus	00a717ca549252e0c808968508d798b0a4da63d881775c8e97671fd08010f1fb	-
GSOS-TL-0103	2026-08-06 20:40:35	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/eventbus/events.bus	00a717ca549252e0c808968508d798b0a4da63d881775c8e97671fd08010f1fb	-
GSOS-TL-0104	2026-08-06 20:52:11	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/router/router.s	7a118bfccdb49290e46219774a7f5acbf33c0a25c4befa30b5b9c1e44e704049	-
GSOS-TL-0105	2026-08-06 22:16:55	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/runtime/listeners/recovery-listener.sh	f4cc31cf8bed69493e940305b2607a9d6fd9440b913b09450565ed75c8ee567e	-
GSOS-TL-0106	2026-08-07 02:13:27	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/audit/audit.sh	2967e6ced7e4704282236ddd13b0120eb78d05ef4f6ed0cbba1050821de6788c	-
GSOS-TL-0107	2026-08-07 02:44:50	FILE_METADATA	LOCAL_PROJECT	/data/data/com.termux/files/home/sos-observer/gsos/security/security-audit.sh	2caefecd6d8a7322f902d9a8c77ffd4a1faada3a51e2177757d3c968dc46a46d	-
